filename,urls,state
ballet,http://data.votchallenge.net/vot2019/longterm/ballet.zip,True
bicycle,http://data.votchallenge.net/vot2019/longterm/bicycle.zip,True
bike1,http://data.votchallenge.net/vot2019/longterm/bike1.zip,True
bird1,http://data.votchallenge.net/vot2019/longterm/bird1.zip,True
boat,http://data.votchallenge.net/vot2019/longterm/boat.zip,True
bull,http://data.votchallenge.net/vot2019/longterm/bull.zip,True
car1,http://data.votchallenge.net/vot2019/longterm/car1.zip,True
car3,http://data.votchallenge.net/vot2019/longterm/car3.zip,True
car6,http://data.votchallenge.net/vot2019/longterm/car6.zip,True
car8,http://data.votchallenge.net/vot2019/longterm/car8.zip,True
car9,http://data.votchallenge.net/vot2019/longterm/car9.zip,True
car16,http://data.votchallenge.net/vot2019/longterm/car16.zip,True
carchase,http://data.votchallenge.net/vot2019/longterm/carchase.zip,True
cat1,http://data.votchallenge.net/vot2019/longterm/cat1.zip,True
cat2,http://data.votchallenge.net/vot2019/longterm/cat2.zip,True
deer,http://data.votchallenge.net/vot2019/longterm/deer.zip,True
dog,http://data.votchallenge.net/vot2019/longterm/dog.zip,True
dragon,http://data.votchallenge.net/vot2019/longterm/dragon.zip,True
f1,http://data.votchallenge.net/vot2019/longterm/f1.zip,True
following,http://data.votchallenge.net/vot2019/longterm/following.zip,True
freesbiedog,http://data.votchallenge.net/vot2019/longterm/freesbiedog.zip,True
freestyle,http://data.votchallenge.net/vot2019/longterm/freestyle.zip,True
group1,http://data.votchallenge.net/vot2019/longterm/group1.zip,True
group2,http://data.votchallenge.net/vot2019/longterm/group2.zip,True
group3,http://data.votchallenge.net/vot2019/longterm/group3.zip,True
helicopter,http://data.votchallenge.net/vot2019/longterm/helicopter.zip,True
horseride,http://data.votchallenge.net/vot2019/longterm/horseride.zip,True
kitesurfing,http://data.votchallenge.net/vot2019/longterm/kitesurfing.zip,True
liverRun,http://data.votchallenge.net/vot2019/longterm/liverRun.zip,True
longboard,http://data.votchallenge.net/vot2019/longterm/longboard.zip,True
nissan,http://data.votchallenge.net/vot2019/longterm/nissan.zip,True
parachute,http://data.votchallenge.net/vot2019/longterm/parachute.zip,True
person2,http://data.votchallenge.net/vot2019/longterm/person2.zip,True
person4,http://data.votchallenge.net/vot2019/longterm/person4.zip,True
person5,http://data.votchallenge.net/vot2019/longterm/person5.zip,True
person7,http://data.votchallenge.net/vot2019/longterm/person7.zip,True
person14,http://data.votchallenge.net/vot2019/longterm/person14.zip,True
person17,http://data.votchallenge.net/vot2019/longterm/person17.zip,True
person19,http://data.votchallenge.net/vot2019/longterm/person19.zip,True
person20,http://data.votchallenge.net/vot2019/longterm/person20.zip,True
rollerman,http://data.votchallenge.net/vot2019/longterm/rollerman.zip,True
sitcom,http://data.votchallenge.net/vot2019/longterm/sitcom.zip,True
skiing,http://data.votchallenge.net/vot2019/longterm/skiing.zip,True
sup,http://data.votchallenge.net/vot2019/longterm/sup.zip,True
tightrope,http://data.votchallenge.net/vot2019/longterm/tightrope.zip,True
uav1,http://data.votchallenge.net/vot2019/longterm/uav1.zip,True
volkswagen,http://data.votchallenge.net/vot2019/longterm/volkswagen.zip,True
warmup,http://data.votchallenge.net/vot2019/longterm/warmup.zip,True
wingsuit,http://data.votchallenge.net/vot2019/longterm/wingsuit.zip,True
yamaha,http://data.votchallenge.net/vot2019/longterm/yamaha.zip,True
